image_path,tag,ansible_core_version,python_version,rhel_version
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.17.10-2,2.17.10,3.11.9,9.5 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.17.11,2.17.11,3.11.9,9.5 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.17.11-2,2.17.11,3.11.9,9.5 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.17.12,2.17.12,3.11.11,9.6 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.17.1-2,2.17.1,3.11.7,9.4 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.17.12-2,2.17.12,3.11.11,9.6 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.17.13,2.17.13,3.11.11,9.6 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.17.13-4,2.17.13,3.11.11,9.6 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.17.1-6,2.17.1,3.11.7,9.4 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.17.2,2.17.2,3.11.7,9.4 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.17.2-1,2.17.2,3.11.7,9.4 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.17.3,2.17.3,3.11.7,9.4 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.17.3-2,2.17.3,3.11.7,9.4 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.17.4,2.17.4,3.11.7,9.4 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.17.4-4,2.17.4,3.11.7,9.4 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.17.5,2.17.5,3.11.7,9.4 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.17.5-3,2.17.5,3.11.7,9.4 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.17.6,2.17.6,3.11.7,9.4 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.17.6-2,2.17.6,3.11.7,9.4 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.17.7,2.17.7,3.11.9,9.5 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.17.7-2,2.17.7,3.11.9,9.5 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.17.8,2.17.8,3.11.9,9.5 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.17.8-2,2.17.8,3.11.9,9.5 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.17.8-4,2.17.8,3.11.9,9.5 (Plow)
registry.redhat.io/ansible-automation-platform/ee-minimal-rhel9,2.17.9,2.17.9,3.11.9,9.5 (Plow)
